20251023-16:13:13 %Cpu(s):  45.4 us,   6.6 sy,   0.0 ni,  41.7 id,   1.4 wa,   0.0 hi,   4.2 si,   0.4 st
20251023-16:13:14 %Cpu(s):  39.6 us,   8.2 sy,   0.0 ni,  46.8 id,   1.4 wa,   0.0 hi,   3.8 si,   0.0 st
20251023-16:13:15 %Cpu(s):  42.2 us,   6.7 sy,   0.0 ni,  44.6 id,   1.9 wa,   0.0 hi,   3.8 si,   0.4 st
20251023-16:13:16 %Cpu(s):  41.0 us,   9.4 sy,   0.0 ni,  43.5 id,   1.9 wa,   0.0 hi,   3.4 si,   0.4 st
20251023-16:13:17 %Cpu(s):  36.0 us,   6.5 sy,   0.0 ni,  50.2 id,   2.0 wa,   0.0 hi,   4.5 si,   0.5 st
20251023-16:13:18 %Cpu(s):  41.5 us,   8.0 sy,   0.0 ni,  43.0 id,   2.5 wa,   0.0 hi,   5.0 si,   0.0 st
20251023-16:13:19 %Cpu(s):  41.3 us,   8.3 sy,   0.0 ni,  42.3 id,   1.4 wa,   0.0 hi,   6.4 si,   0.0 st
20251023-16:13:20 %Cpu(s):  38.5 us,   8.7 sy,   0.0 ni,  42.9 id,   0.9 wa,   0.0 hi,   7.8 si,   0.9 st
20251023-16:13:22 %Cpu(s):  39.9 us,   9.3 sy,   0.0 ni,  43.3 id,   1.4 wa,   0.0 hi,   5.4 si,   0.4 st
20251023-16:13:23 %Cpu(s):  41.0 us,  10.5 sy,   0.0 ni,  42.5 id,   1.5 wa,   0.0 hi,   4.5 si,   0.0 st
20251023-16:13:24 %Cpu(s):  39.1 us,   7.2 sy,   0.0 ni,  47.8 id,   1.4 wa,   0.0 hi,   3.8 si,   0.4 st
20251023-16:13:25 %Cpu(s):  41.3 us,   6.1 sy,   0.0 ni,  45.4 id,   0.5 wa,   0.0 hi,   6.6 si,   0.0 st
20251023-16:13:26 %Cpu(s):  40.2 us,   8.4 sy,   0.0 ni,  45.2 id,   0.9 wa,   0.0 hi,   4.9 si,   0.0 st
20251023-16:13:27 %Cpu(s):  39.6 us,   9.9 sy,   0.0 ni,  44.5 id,   0.9 wa,   0.0 hi,   4.4 si,   0.4 st
20251023-16:13:28 %Cpu(s):  36.7 us,   8.8 sy,   0.0 ni,  44.6 id,   3.9 wa,   0.0 hi,   5.3 si,   0.4 st
20251023-16:13:29 %Cpu(s):  30.5 us,   5.0 sy,   0.0 ni,  58.0 id,   3.0 wa,   0.0 hi,   3.5 si,   0.0 st
